127.0.0.1 - - [21/Dec/2023:18:51:09 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [21/Dec/2023:18:51:11 -0300] "GET /agis/ HTTP/1.1" 200 1681
127.0.0.1 - - [21/Dec/2023:18:51:11 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [21/Dec/2023:18:51:11 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [21/Dec/2023:18:51:11 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [21/Dec/2023:18:51:12 -0300] "GET /agis/secretaria HTTP/1.1" 200 3485
127.0.0.1 - - [21/Dec/2023:18:51:12 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [21/Dec/2023:18:51:12 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [21/Dec/2023:18:51:12 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [21/Dec/2023:18:51:14 -0300] "GET /agis/secretaria/grade HTTP/1.1" 200 4636
127.0.0.1 - - [21/Dec/2023:18:51:14 -0300] "GET /agis/secretaria/main.css HTTP/1.1" 404 124
127.0.0.1 - - [21/Dec/2023:18:51:14 -0300] "GET /agis/secretaria/main.js HTTP/1.1" 404 123
127.0.0.1 - - [21/Dec/2023:18:51:14 -0300] "GET /agis/secretaria/main.js HTTP/1.1" 404 123
127.0.0.1 - - [21/Dec/2023:18:51:17 -0300] "GET /agis/secretaria/grade/montar? HTTP/1.1" 200 4224
127.0.0.1 - - [21/Dec/2023:18:51:17 -0300] "GET /agis/secretaria/grade/main.css HTTP/1.1" 404 130
127.0.0.1 - - [21/Dec/2023:18:51:33 -0300] "GET /agis/secretaria/curso/lista HTTP/1.1" 200 4204
127.0.0.1 - - [21/Dec/2023:18:51:33 -0300] "GET /agis/secretaria/curso/main.css HTTP/1.1" 404 130
127.0.0.1 - - [21/Dec/2023:18:51:33 -0300] "GET /agis/secretaria/curso/main.js HTTP/1.1" 404 129
127.0.0.1 - - [21/Dec/2023:18:51:33 -0300] "GET /agis/secretaria/curso/main.js HTTP/1.1" 404 129
127.0.0.1 - - [21/Dec/2023:18:51:39 -0300] "GET /agis/secretaria/curso HTTP/1.1" 200 4589
127.0.0.1 - - [21/Dec/2023:18:51:39 -0300] "GET /agis/secretaria/main.css HTTP/1.1" 404 124
127.0.0.1 - - [21/Dec/2023:18:51:39 -0300] "GET /agis/secretaria/main.js HTTP/1.1" 404 123
127.0.0.1 - - [21/Dec/2023:18:51:39 -0300] "GET /agis/secretaria/main.js HTTP/1.1" 404 123
127.0.0.1 - - [21/Dec/2023:18:51:53 -0300] "POST /agis/secretaria/curso/inserir HTTP/1.1" 302 -
127.0.0.1 - - [21/Dec/2023:18:51:53 -0300] "GET /agis/secretaria/curso/lista HTTP/1.1" 200 4550
127.0.0.1 - - [21/Dec/2023:18:51:53 -0300] "GET /agis/secretaria/curso/main.js HTTP/1.1" 404 129
127.0.0.1 - - [21/Dec/2023:18:51:53 -0300] "GET /agis/secretaria/curso/main.css HTTP/1.1" 404 130
127.0.0.1 - - [21/Dec/2023:18:51:54 -0300] "GET /agis/secretaria/curso/main.js HTTP/1.1" 404 129
127.0.0.1 - - [21/Dec/2023:18:52:01 -0300] "GET /agis/secretaria/grade HTTP/1.1" 200 4636
127.0.0.1 - - [21/Dec/2023:18:52:01 -0300] "GET /agis/secretaria/main.js HTTP/1.1" 404 123
127.0.0.1 - - [21/Dec/2023:18:52:01 -0300] "GET /agis/secretaria/main.css HTTP/1.1" 404 124
127.0.0.1 - - [21/Dec/2023:18:52:01 -0300] "GET /agis/secretaria/main.js HTTP/1.1" 404 123
127.0.0.1 - - [21/Dec/2023:18:52:02 -0300] "GET /agis/secretaria/grade/montar? HTTP/1.1" 200 4339
127.0.0.1 - - [21/Dec/2023:18:52:02 -0300] "GET /agis/secretaria/grade/main.css HTTP/1.1" 404 130
127.0.0.1 - - [21/Dec/2023:18:52:03 -0300] "POST /agis/secretaria/grade/montar HTTP/1.1" 200 7521
127.0.0.1 - - [21/Dec/2023:18:52:03 -0300] "GET /agis/secretaria/grade/main.css HTTP/1.1" 404 130
127.0.0.1 - - [21/Dec/2023:18:52:13 -0300] "GET /agis/secretaria/grade/montar HTTP/1.1" 200 4339
127.0.0.1 - - [21/Dec/2023:18:53:20 -0300] "POST /agis/secretaria/grade/montar HTTP/1.1" 200 7201
127.0.0.1 - - [21/Dec/2023:18:53:21 -0300] "GET /agis/secretaria/grade/main.css HTTP/1.1" 404 130
